Country,deaths
Afghanistan,153
Albania,31
Algeria,536
Andorra,49
Angola,2
Antigua and Barbuda,3
Argentina,356
Armenia,52
Australia,98
Austria,628
Azerbaijan,36
Bahrain,12
Bangladesh,298
Barbados,7
Belarus,156
Belgium,8959
Belize,2
Benin,2
Bhutan,0
Bolivia,164
Bosnia and Herzegovina,128
Botswana,1
Brazil,14962
Brunei,1
Bulgaria,102
Burkina Faso,51
Burundi,1
Cabo Verde,2
Cambodia,0
Cameroon,140
Canada,5679
Central African Republic,0
Chad,48
Chile,394
China,4637
Colombia,546
Comoros,1
Costa Rica,9
Croatia,95
Cuba,79
Cyprus,17
Czech Republic,295
Democratic Republic of the Congo,50
Denmark,537
Diamond Princess,13
Djibouti,4
Dominica,0
Dominican Republic,424
East Timor,0
Ecuador,2594
Egypt,592
El Salvador,25
England,34076
Equatorial Guinea,7
Eritrea,0
Estonia,63
Eswatini,2
Ethiopia,5
Falkland Islands,0
Fiji,0
Finland,293
France,27532
Gabon,10
Gambia,1
Georgia,12
Germany,7897
Ghana,28
Greece,160
Greenland,0
Grenada,0
Guatemala,30
Guinea,15
Guinea-Bissau,3
Guyana,10
Haiti,20
Holy See,0
Honduras,134
Hungary,442
Iceland,10
India,2753
Indonesia,1076
Iran,6902
Iraq,117
Ireland,1518
Israel,266
Italy,31610
Ivory Coast,24
Jamaica,9
Japan,713
Jordan,9
Kazakhstan,34
Kenya,45
Kosovo,29
Kuwait,96
Kyrgyzstan,14
Laos,0
Latvia,19
Lebanon,26
Lesotho,0
Liberia,20
Libya,3
Liechtenstein,1
Lithuania,54
Luxembourg,104
MS Zaandam,2
Macedonia,97
Madagascar,0
Malawi,3
Malaysia,112
Maldives,4
Mali,46
Malta,6
Mauritania,3
Mauritius,10
Mexico,4767
Moldova,202
Monaco,4
Mongolia,0
Montenegro,9
Morocco,190
Mozambique,0
Myanmar,6
Namibia,0
Nepal,0
Netherlands,5662
New Caledonia,0
New Zealand,21
Nicaragua,8
Niger,51
Nigeria,171
Norway,232
Oman,20
Pakistan,834
Panama,266
Papua New Guinea,0
Paraguay,11
Peru,2392
Philippines,806
Poland,907
Portugal,1190
Qatar,14
Republic of Serbia,225
Republic of the Congo,15
Romania,1070
Russia,2418
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,41
Sao Tome and Principe,7
Saudi Arabia,292
Senegal,25
Seychelles,0
Sierra Leone,27
Singapore,21
Slovakia,27
Slovenia,103
Somalia,53
South Africa,247
South Korea,262
South Sudan,4
Spain,27459
Sri Lanka,9
Sudan,91
Suriname,1
Sweden,3646
Switzerland,1878
Syria,3
Taiwan,7
Tajikistan,33
Thailand,56
The Bahamas,11
Togo,11
Trinidad and Tobago,8
Tunisia,45
Turkey,4055
US,87530
USA,90978
Uganda,0
Ukraine,476
United Arab Emirates,210
United Kingdom,2
United Republic of Tanzania,21
Uruguay,19
Uzbekistan,11
Venezuela,10
Vietnam,0
West Bank and Gaza,2
Western Sahara,0
Yemen,15
Zambia,7
Zimbabwe,4
